,StartTime,EndTime,URL,SpanType,Service,SpanId,TraceId,Peer,ParentSpan,Component,IsError,Duration
6496055,1650823167330,1650823177367,POST:/api/v1/travelplanservice/travelPlan/cheapest,Entry,ts-travel-plan-service,475bf33c8c3a4fef8e9da155775f9e95.36.16508231673300080.0,475bf33c8c3a4fef8e9da155775f9e95.36.16508231673300081,ts-travel-plan-service,-1,SpringMVC,True,10037
6496056,1650823167332,1650823177365,/api/v1/routeplanservice/routePlan/cheapestRoute,Exit,ts-travel-plan-service,475bf33c8c3a4fef8e9da155775f9e95.36.16508231673300080.1,475bf33c8c3a4fef8e9da155775f9e95.36.16508231673300081,ts-route-plan-service,475bf33c8c3a4fef8e9da155775f9e95.36.16508231673300080.0,SpringRestTemplate,True,10033
6496057,1650823167334,1650823177365,POST:/api/v1/routeplanservice/routePlan/cheapestRoute,Entry,ts-route-plan-service,fae5aa5b89f7484eaf95c9c7c271aea3.37.16508231673340078.0,475bf33c8c3a4fef8e9da155775f9e95.36.16508231673300081,ts-route-plan-service,475bf33c8c3a4fef8e9da155775f9e95.36.16508231673300080.1,SpringMVC,True,10031
6496058,1650823167335,1650823177362,/api/v1/travelservice/trips/left,Exit,ts-route-plan-service,fae5aa5b89f7484eaf95c9c7c271aea3.37.16508231673340078.1,475bf33c8c3a4fef8e9da155775f9e95.36.16508231673300081,ts-travel-service,fae5aa5b89f7484eaf95c9c7c271aea3.37.16508231673340078.0,SpringRestTemplate,False,10027
6496059,1650823167335,1650823177360,POST:/api/v1/travelservice/trips/left,Entry,ts-travel-service,6dc71a64396f49f3862e37ed85fc1abd.41.16508231673350430.0,475bf33c8c3a4fef8e9da155775f9e95.36.16508231673300081,ts-travel-service,fae5aa5b89f7484eaf95c9c7c271aea3.37.16508231673340078.1,SpringMVC,False,10025
6496060,1650823167340,1650823172348,/api/v1/ticketinfoservice/ticketinfo/Nan Jing,Exit,ts-travel-service,6dc71a64396f49f3862e37ed85fc1abd.41.16508231673350430.1,475bf33c8c3a4fef8e9da155775f9e95.36.16508231673300081,ts-ticketinfo-service,6dc71a64396f49f3862e37ed85fc1abd.41.16508231673350430.0,SpringRestTemplate,False,5008
6496061,1650823167341,1650823172348,GET:/api/v1/ticketinfoservice/ticketinfo/{name},Entry,ts-ticketinfo-service,51e13c03be514491927412f5595b8565.35.16508231673410834.0,475bf33c8c3a4fef8e9da155775f9e95.36.16508231673300081,ts-ticketinfo-service,6dc71a64396f49f3862e37ed85fc1abd.41.16508231673350430.1,SpringMVC,False,5007
6496062,1650823167342,1650823172347,/api/v1/basicservice/basic/Nan Jing,Exit,ts-ticketinfo-service,51e13c03be514491927412f5595b8565.35.16508231673410834.1,475bf33c8c3a4fef8e9da155775f9e95.36.16508231673300081,ts-basic-service,51e13c03be514491927412f5595b8565.35.16508231673410834.0,SpringRestTemplate,False,5005
6496063,1650823167342,1650823172347,GET:/api/v1/basicservice/basic/{stationName},Entry,ts-basic-service,84a1b50eda304d239c5a965a524a6761.41.16508231673420734.0,475bf33c8c3a4fef8e9da155775f9e95.36.16508231673300081,ts-basic-service,51e13c03be514491927412f5595b8565.35.16508231673410834.1,SpringMVC,False,5005
6496064,1650823167343,1650823172346,/api/v1/stationservice/stations/id/Nan Jing,Exit,ts-basic-service,84a1b50eda304d239c5a965a524a6761.41.16508231673420734.1,475bf33c8c3a4fef8e9da155775f9e95.36.16508231673300081,ts-station-service,84a1b50eda304d239c5a965a524a6761.41.16508231673420734.0,SpringRestTemplate,False,5003
